"time"	"PX"	"PY"	"PZ"	"X"	"Y"	"Z"	"cell"	"eff"	"KM"	"n"	"ps0"	"psa"	"taumRNA"	"tauprot"	"Reaction1"	"Reaction10"	"Reaction11"	"Reaction12"	"Reaction2"	"Reaction3"	"Reaction4"	"Reaction5"	"Reaction6"	"Reaction7"	"Reaction8"	"Reaction9"	"a0tr"	"alpha"	"alpha0"	"atr"	"beta"	"kdmRNA"	"kdprot"	"ktl"	"tave"	"[PX]"	"[PY]"	"[PZ]"	"[X]"	"[Y]"	"[Z]"
500	2332.5018813249962	139.36388604986593	186.13851415964967	8.012443948201463	0.10768811411103762	4.9591064557457	1.	20.	40.	2.	0.0005	0.5	2.	10.	2.7769014660452203	1.352903332545083	0.038811199176709936	2.311007148204496	0.037321856337941696	1.7186953289483775	55.53802932090441	0.7464371267588339	34.37390657896755	161.67671026911893	9.659968468734204	12.902138628337863	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2332.5018813249962	139.36388604986593	186.13851415964967	8.012443948201463	0.10768811411103762	4.9591064557457
502	2117.1678978547666	122.7397430981442	234.6803166378544	5.550770455342605	0.11128089478449743	6.279205780014202	1.	20.	40.	2.	0.0005	0.5	2.	10.	1.9237504455280854	0.8760895642303564	0.040694023413689995	2.9074000511665945	0.038567019235031155	2.176206891286278	38.475008910561705	0.7713403847006232	43.52413782572556	146.75089591700575	8.507670687113066	16.266799981044397	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	2117.1678978547666	122.7397430981442	234.6803166378544	5.550770455342605	0.11128089478449743	6.279205780014202
504	1902.535116809663	108.32322941094893	295.9554637897556	3.7749943117664766	0.11630785491753863	7.896835101792373	1.	20.	40.	2.	0.0005	0.5	2.	10.	1.3083133319153821	0.5676409396480259	0.04324187342243382	3.6262412178540844	0.04030923085653353	2.736834493077096	26.166266638307643	0.8061846171306707	54.73668986154192	131.8736852132904	7.508394105534739	20.514069529718004	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1902.535116809663	108.32322941094893	295.9554637897556	3.7749943117664766	0.11630785491753863	7.896835101792373
506	1696.4294679414634	95.84961746160421	372.40774552202646	2.538307592949831	0.12316401721511544	9.846917110305544	1.	20.	40.	2.	0.0005	0.5	2.	10.	0.8797103757235384	0.37181227916349446	0.04665304762509534	4.475289413843695	0.042685395639546916	3.4126814161078856	17.594207514470767	0.8537079127909384	68.25362832215771	117.58753027224334	6.643789210126026	25.813337882727822	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1696.4294679414634	95.84961746160421	372.40774552202646	2.538307592949831	0.12316401721511544	9.846917110305544
508	1503.7727638617653	85.09444294028695	466.54179297887504	1.6997855409636828	0.13238275891173176	12.1517169201202	1.	20.	40.	2.	0.0005	0.5	2.	10.	0.589100777637769	0.24869801974519648	0.05119020318246355	5.453781437445589	0.045880368047206924	4.21146416107195	11.782015552755382	0.9176073609441384	84.22928322143899	104.2335851473619	5.898297320537904	32.33821284166889	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1503.7727638617653	85.09444294028695	466.54179297887504	1.6997855409636828	0.13238275891173176	12.1517169201202
510	1327.1732810428587	75.87032487038182	580.6925664817086	1.1423878197744148	0.1446740701892385	14.811709467772149	1.	20.	40.	2.	0.0005	0.5	2.	10.	0.3959214481913293	0.17153321764858528	0.057199263428573247	6.548488861499921	0.05014021192590115	5.1333473284296565	7.918428963826586	1.002804238518023	102.66694656859313	91.99264178693494	5.258930177207225	40.25054152289149	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1327.1732810428587	75.87032487038182	580.6925664817086	1.1423878197744148	0.1446740701892385	14.811709467772149
512	1167.5723149955866	68.02477331161225	716.6989360081201	0.7770446298120928	0.1609754903269908	17.795550509087423	1.	20.	40.	2.	0.0005	0.5	2.	10.	0.26930314716174925	0.1230641719436986	0.06513417186019885	7.7302011543400235	0.055789853629704206	6.167467830943023	5.386062943234985	1.1157970725940842	123.34935661886047	80.9299458239039	4.715117982917344	49.67778468043411	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1167.5723149955866	68.02477331161225	716.6989360081201	0.7770446298120928	0.1609754903269908	17.795550509087423
514	1024.8075853757878	61.439042428881	875.4939029697389	0.539790361247083	0.18251906247974228	21.031059603592308	1.	20.	40.	2.	0.0005	0.5	2.	10.	0.18707708349592497	0.09243021857687059	0.0755890906678923	8.951707438193914	0.06325628677813892	7.288809834209085	3.7415416699184996	1.2651257355627787	145.77619668418168	71.03424884196727	4.258629903588171	60.68461304408968	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	1024.8075853757878	61.439042428881	875.4939029697389	0.539790361247083	0.18251906247974228	21.031059603592308
516	898.0471865634381	56.02812786055298	1056.6515860130667	0.3865049442026515	0.21091857552744245	24.399708526913475	1.	20.	40.	2.	0.0005	0.5	2.	10.	0.13395240617327345	0.07288655821019005	0.08934001685070359	10.148267780710405	0.0730988079772833	8.456294585957265	2.679048123465469	1.4619761595456662	169.12589171914533	62.24788753762383	3.8835738858594415	73.24150676791517	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	898.0471865634381	56.02812786055298	1056.6515860130667	0.3865049442026515	0.21091857552744245	24.399708526913475
518	786.0974406559388	51.74205683674432	1257.9577345803682	0.28761965445916576	0.2482824087509516	27.73687081976571	1.	20.	40.	2.	0.0005	0.5	2.	10.	0.09968137628099823	0.060271625301658624	0.10739821319702308	11.240966652165215	0.08604812580417699	9.61286690313801	1.9936275256199645	1.7209625160835398	192.2573380627602	54.488122463605286	3.5864860812761763	87.19498569879582	0.03	216.18785187721116	0.2164042561333445	29.97	0.2	0.34657359027997264	0.06931471805599453	6.931471805599453	2.8853900817779268	786.0974406559388	51.74205683674432	1257.9577345803682	0.28761965445916576	0.2482824087509516	27.73687081976571
